startTime,endTime,duration,annotation
2014-10-10T09:52:23.000Z,2014-10-11T07:19:36.013Z,77233.013,uncodeable;0002 image dark/blurred/obscured
2014-10-11T07:19:59.014Z,2014-10-11T07:21:10.017Z,71.003,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T07:21:33.018Z,2014-10-11T07:25:26.028Z,233.01,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-11T07:25:50.029Z,2014-10-11T07:28:19.035Z,149.006,home activity;miscellaneous;walking;5147 walking moving away light items (pens/papers/keys not included)
2014-10-11T07:28:43.036Z,2014-10-11T07:38:22.058Z,579.022,home activity;eating;13030 eating sitting alone or with someone
2014-10-11T07:38:45.059Z,2014-10-11T07:54:27.097Z,942.038,home activity;miscellaneous;sitting;11580 office/computer work general
2014-10-11T07:55:11.098Z,2014-10-11T07:55:30.107Z,19.009,home activity;self care;13040 (generic) self care such as grooming/washing hands/shaving/brushing teeth/putting on make-up not eliminating and bathing (not necessary in the toilet)
2014-10-11T07:55:53.108Z,2014-10-11T07:56:43.110Z,50.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T07:57:06.111Z,2014-10-11T08:01:19.122Z,253.011,uncodeable;0002 image dark/blurred/obscured
2014-10-11T08:01:43.123Z,2014-10-11T08:02:52.126Z,69.003,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-11T08:03:15.127Z,2014-10-11T08:04:31.130Z,76.003,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T08:04:54.131Z,2014-10-11T08:15:36.156Z,642.025,home activity;miscellaneous;sitting;11580 office/computer work general
2014-10-11T08:15:58.157Z,2014-10-11T08:21:44.169Z,346.012,home activity;miscellaneous;sitting;9055 sitting/lying talking in person/using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting)
2014-10-11T08:22:08.170Z,2014-10-11T08:22:53.172Z,45.002,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-10-11T08:23:25.173Z,2014-10-11T08:39:00.208Z,935.035,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-11T08:39:24.209Z,2014-10-11T08:40:38.212Z,74.003,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-11T08:41:03.213Z,2014-10-11T08:47:30.229Z,387.016,uncodeable;0002 image dark/blurred/obscured
2014-10-11T08:47:54.230Z,2014-10-11T08:48:39.232Z,45.002,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-11T08:49:05.233Z,2014-10-11T08:51:25.239Z,140.006,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T08:51:47.240Z,2014-10-11T08:52:36.242Z,49.002,home activity;miscellaneous;walking;5121 walking with moving and lifting loads such as bikes and furniture
2014-10-11T08:53:00.243Z,2014-10-11T09:03:48.270Z,648.027,transportation;private transportation;1010 bicycling
2014-10-11T09:04:12.271Z,2014-10-11T09:06:41.277Z,149.006,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-11T09:07:04.278Z,2014-10-11T09:10:08.286Z,184.008,leisure;miscellaneous;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-10-11T09:10:39.287Z,2014-10-11T09:21:15.312Z,636.025,leisure;sports;gymnasium and athletics;athletics;12150 running
2014-10-11T09:21:39.313Z,2014-10-11T09:23:13.317Z,94.004,home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet
2014-10-11T09:23:42.318Z,2014-10-11T09:26:55.326Z,193.008,leisure;sports;conditioning;2060 health club exercise
2014-10-11T09:27:18.327Z,2014-10-11T09:30:31.335Z,193.008,home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet
2014-10-11T09:30:59.336Z,2014-10-11T09:31:09.343Z,10.007,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-11T09:31:17.344Z,2014-10-11T10:00:36.397Z,1759.053,uncodeable;0002 image dark/blurred/obscured
2014-10-11T10:01:21.398Z,2014-10-11T10:03:05.409Z,104.011,leisure;miscellaneous;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-10-11T10:03:05.410Z,2014-10-11T10:13:20.436Z,615.026,leisure;sports;gymnasium and athletics;athletics;12150 running
2014-10-11T10:13:44.437Z,2014-10-11T10:22:25.458Z,521.021,leisure;sports;conditioning;2060 health club exercise
2014-10-11T10:22:47.459Z,2014-10-11T10:25:00.473Z,133.014,leisure;miscellaneous;sitting;9055 sitting talking to person/using the phone
2014-10-11T10:25:25.474Z,2014-10-11T10:28:35.482Z,190.008,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-11T10:28:59.483Z,2014-10-11T10:40:04.511Z,665.028,transportation;private transportation;1010 bicycling
2014-10-11T10:40:28.512Z,2014-10-11T10:41:18.514Z,50.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T10:41:42.515Z,2014-10-11T10:59:00.546Z,1038.031,uncodeable;0002 image dark/blurred/obscured
2014-10-11T10:59:23.547Z,2014-10-11T11:01:24.552Z,121.005,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-11T11:01:47.553Z,2014-10-11T11:05:30.562Z,223.009,home activity;miscellaneous;sitting;11580 office/computer work general
2014-10-11T11:05:53.563Z,2014-10-11T11:08:40.570Z,167.007,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T11:09:05.571Z,2014-10-11T11:20:56.596Z,711.025,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-11T11:21:19.597Z,2014-10-11T11:33:36.626Z,737.029,home activity;eating;13030 eating sitting alone or with someone
2014-10-11T11:34:00.627Z,2014-10-11T11:35:10.630Z,70.003,home activity;household chores;preparing meals/cooking/washing dishes;5035 cleaning up table after meal implied walking (e.g. leaving from eating table to the kitchen)
2014-10-11T11:35:34.631Z,2014-10-11T11:38:21.638Z,167.007,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-11T11:38:45.639Z,2014-10-11T11:39:57.642Z,72.003,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-11T11:40:22.643Z,2014-10-11T11:43:11.650Z,169.007,transportation;private transportation;1010 bicycling
2014-10-11T11:43:34.651Z,2014-10-11T11:44:22.653Z,48.002,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T11:44:47.654Z,2014-10-11T11:48:11.663Z,204.009,uncodeable;0002 image dark/blurred/obscured
2014-10-11T11:48:37.664Z,2014-10-11T11:49:48.667Z,71.003,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-11T11:50:11.668Z,2014-10-11T11:50:59.670Z,48.002,occupation;office and administrative support;11580 office/computer work general
2014-10-11T11:51:22.671Z,2014-10-11T11:53:15.675Z,113.004,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-11T11:53:40.676Z,2014-10-11T12:40:57.784Z,2837.108,occupation;office and administrative support;11580 office/computer work general
2014-10-11T12:41:27.785Z,2014-10-11T12:43:34.790Z,127.005,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-11T12:43:58.791Z,2014-10-11T13:12:51.856Z,1733.065,occupation;office and administrative support;11580 office/computer work general
2014-10-11T13:13:13.857Z,2014-10-11T13:14:45.861Z,92.004,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-11T13:15:11.862Z,2014-10-11T13:41:23.926Z,1572.064,occupation;office and administrative support;11580 office/computer work general
2014-10-11T13:41:48.927Z,2014-10-11T13:42:59.930Z,71.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T13:43:21.931Z,2014-10-11T13:46:48.939Z,207.008,uncodeable;0002 image dark/blurred/obscured
2014-10-11T13:47:10.940Z,2014-10-11T13:53:19.956Z,369.016,occupation;office and administrative support;11580 office/computer work general
2014-10-11T13:53:42.957Z,2014-10-11T13:56:12.963Z,150.006,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-11T13:56:35.964Z,2014-10-11T15:27:51.186Z,5475.222,occupation;office and administrative support;11580 office/computer work general
2014-10-11T15:28:15.187Z,2014-10-11T15:29:05.189Z,50.002,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T15:29:28.190Z,2014-10-11T15:30:59.194Z,91.004,uncodeable;0002 image dark/blurred/obscured
2014-10-11T15:31:21.195Z,2014-10-11T15:32:33.198Z,72.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T15:32:57.199Z,2014-10-11T15:34:08.202Z,71.003,occupation;interruption;sitting;13030 eating sitting
2014-10-11T15:34:31.203Z,2014-10-11T16:56:41.406Z,4930.203,occupation;office and administrative support;11580 office/computer work general
2014-10-11T16:57:04.407Z,2014-10-11T16:58:56.411Z,112.004,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-11T16:59:19.412Z,2014-10-11T17:07:27.433Z,488.021,occupation;office and administrative support;11580 office/computer work general
2014-10-11T17:07:51.434Z,2014-10-11T17:10:01.439Z,130.005,uncodeable;0002 image dark/blurred/obscured
2014-10-11T17:10:29.440Z,2014-10-11T17:24:39.476Z,850.036,occupation;office and administrative support;11580 office/computer work general
2014-10-11T17:25:26.477Z,2014-10-11T17:28:14.484Z,168.007,leisure;eating;social;5060 buying foods or drinks as a takeaway
2014-10-11T17:28:40.485Z,2014-10-11T17:36:50.505Z,490.02,leisure;eating;social;13035 eating standing indoor/outdoor
2014-10-11T17:37:14.506Z,2014-10-11T17:47:39.532Z,625.026,leisure;eating;social;5060 buying foods or drinks as a takeaway
2014-10-11T17:48:02.533Z,2014-10-11T17:57:25.556Z,563.023,leisure;eating;social;13030 eating sitting indoor/outdoor
2014-10-11T17:57:49.557Z,2014-10-11T17:58:35.559Z,46.002,uncodeable;0002 image dark/blurred/obscured
2014-10-11T17:59:20.560Z,2014-10-11T18:00:06.562Z,46.002,leisure;eating;social;5060 buying foods or drinks as a takeaway
2014-10-11T18:00:30.563Z,2014-10-11T18:01:45.566Z,75.003,uncodeable;0002 image dark/blurred/obscured
2014-10-11T18:02:09.567Z,2014-10-11T19:33:31.791Z,5482.224,occupation;office and administrative support;11580 office/computer work general
2014-10-11T19:33:56.792Z,2014-10-11T19:36:38.799Z,162.007,uncodeable;0002 image dark/blurred/obscured
2014-10-11T19:37:23.800Z,2014-10-11T19:39:42.804Z,139.004,leisure;eating;social;5060 buying foods or drinks as a takeaway
2014-10-11T19:40:08.805Z,2014-10-11T19:41:40.809Z,92.004,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-11T19:42:03.810Z,2014-10-11T20:16:34.892Z,2071.082,occupation;office and administrative support;11580 office/computer work general
2014-10-11T20:16:59.893Z,2014-10-11T20:18:35.897Z,96.004,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-11T20:19:03.898Z,2014-10-11T20:31:10.926Z,727.028,occupation;office and administrative support;11580 office/computer work general
2014-10-11T20:31:55.927Z,2014-10-11T20:36:12.937Z,257.01,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T20:36:39.938Z,2014-10-11T21:09:34.017Z,1974.079,occupation;office and administrative support;11580 office/computer work general
2014-10-11T21:10:03.018Z,2014-10-11T21:11:38.022Z,95.004,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T21:12:04.023Z,2014-10-11T21:17:26.035Z,322.012,occupation;office and administrative support;11580 office/computer work general
2014-10-11T21:17:49.036Z,2014-10-11T21:20:31.043Z,162.007,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-11T21:20:55.044Z,2014-10-11T21:22:15.047Z,80.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T21:22:38.048Z,2014-10-11T21:27:21.059Z,283.011,occupation;interruption;standing;9070 standing reading or without observable/identifiable activities
2014-10-11T21:27:44.060Z,2014-10-11T21:28:29.062Z,45.002,uncodeable;0002 image dark/blurred/obscured
2014-10-11T21:28:54.063Z,2014-10-11T21:29:43.065Z,49.002,occupation;interruption;standing;9070 standing reading or without observable/identifiable activities
2014-10-11T21:30:06.066Z,2014-10-11T21:30:52.068Z,46.002,uncodeable;0002 image dark/blurred/obscured
2014-10-11T21:31:16.069Z,2014-10-11T21:38:41.085Z,445.016,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-11T21:39:26.086Z,2014-10-11T21:41:21.091Z,115.005,uncodeable;0002 image dark/blurred/obscured
2014-10-11T21:42:29.092Z,2014-10-11T21:43:41.095Z,72.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-11T21:44:05.096Z,2014-10-11T22:58:05.277Z,4440.181,occupation;office and administrative support;11580 office/computer work general
2014-10-11T22:58:49.278Z,2014-10-11T23:13:32.316Z,883.038,uncodeable;0002 image dark/blurred/obscured
