startTime,endTime,duration,annotation
2014-07-03T06:01:08.000Z,2014-07-03T06:02:00.002Z,52.002,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-07-03T06:02:26.003Z,2014-07-03T06:03:36.006Z,70.003,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-07-03T06:03:59.007Z,2014-07-03T06:06:58.015Z,179.008,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-07-03T06:07:22.016Z,2014-07-03T06:12:24.029Z,302.013,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-07-03T06:12:47.030Z,2014-07-03T06:15:27.037Z,160.007,home activity;eating;13030 eating sitting alone or with someone
2014-07-03T06:15:49.038Z,2014-07-03T06:16:37.040Z,48.002,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-07-03T06:17:01.041Z,2014-07-03T06:17:48.043Z,47.002,home activity;miscellaneous;standing;9020 standing writing/drawing/painting
2014-07-03T06:18:12.044Z,2014-07-03T06:21:00.051Z,168.007,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-07-03T06:21:47.052Z,2014-07-03T06:26:28.062Z,281.01,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-07-03T06:26:51.063Z,2014-07-03T06:40:59.099Z,848.036,transportation;walking;17270 walking as the single means to work or class (not from)
2014-07-03T06:41:24.100Z,2014-07-03T06:46:13.112Z,289.012,occupation;interruption;walking;11791 walking on job in office or lab area
2014-07-03T06:46:37.113Z,2014-07-03T06:47:23.115Z,46.002,occupation;office and administrative support;11580 office/computer work general
2014-07-03T06:47:46.116Z,2014-07-03T06:48:55.119Z,69.003,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-07-03T06:49:19.120Z,2014-07-03T07:46:42.269Z,3443.149,occupation;office and administrative support;11580 office/computer work general
2014-07-03T07:47:08.270Z,2014-07-03T07:50:40.278Z,212.008,uncodeable;0002 image dark/blurred/obscured
2014-07-03T07:51:04.279Z,2014-07-03T08:43:22.415Z,3138.136,occupation;office and administrative support;11580 office/computer work general
2014-07-03T08:44:07.416Z,2014-07-03T08:46:52.423Z,165.007,uncodeable;0002 image dark/blurred/obscured
2014-07-03T08:47:14.424Z,2014-07-03T08:49:27.430Z,133.006,occupation;office and administrative support;11580 office/computer work general
2014-07-03T08:49:50.431Z,2014-07-03T08:51:26.435Z,96.004,occupation;interruption;walking;11791 walking on job in office or lab area
2014-07-03T08:51:51.436Z,2014-07-03T08:55:22.445Z,211.009,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T08:55:44.446Z,2014-07-03T09:53:57.598Z,3493.152,occupation;office and administrative support;11580 office/computer work general
2014-07-03T09:54:21.599Z,2014-07-03T10:01:39.618Z,438.019,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T10:02:13.619Z,2014-07-03T10:04:31.624Z,138.005,uncodeable;0002 image dark/blurred/obscured
2014-07-03T10:04:55.625Z,2014-07-03T11:09:00.792Z,3845.167,occupation;office and administrative support;11580 office/computer work general
2014-07-03T11:09:45.793Z,2014-07-03T11:10:34.795Z,49.002,occupation;interruption;walking;11791 walking on job in office or lab area
2014-07-03T11:10:58.796Z,2014-07-03T11:17:14.810Z,376.014,occupation;interruption;miscellaneous;5041 kitchen activity in the working place
2014-07-03T11:17:39.811Z,2014-07-03T11:28:37.839Z,658.028,occupation;interruption;sitting;13030 eating sitting
2014-07-03T11:29:03.840Z,2014-07-03T11:30:15.843Z,72.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-07-03T11:30:39.844Z,2014-07-03T11:42:30.875Z,711.031,occupation;interruption;sitting;13030 eating sitting
2014-07-03T11:42:53.876Z,2014-07-03T11:56:50.912Z,837.036,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-07-03T11:57:13.913Z,2014-07-03T11:58:22.916Z,69.003,uncodeable;0002 image dark/blurred/obscured
2014-07-03T11:58:47.917Z,2014-07-03T11:59:57.919Z,70.002,occupation;interruption;walking;11791 walking on job in office or lab area
2014-07-03T12:00:20.920Z,2014-07-03T12:29:07.995Z,1727.075,occupation;office and administrative support;11580 office/computer work general
2014-07-03T12:29:53.996Z,2014-07-03T12:35:47.011Z,353.015,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T12:36:10.012Z,2014-07-03T13:19:27.124Z,2597.112,occupation;office and administrative support;11580 office/computer work general
2014-07-03T13:19:52.125Z,2014-07-03T13:21:02.128Z,70.003,uncodeable;0002 image dark/blurred/obscured
2014-07-03T13:21:27.129Z,2014-07-03T13:29:09.149Z,462.02,occupation;office and administrative support;11580 office/computer work general
2014-07-03T13:29:33.150Z,2014-07-03T13:33:20.160Z,227.01,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-07-03T13:33:43.161Z,2014-07-03T13:43:52.187Z,609.026,occupation;office and administrative support;11580 office/computer work general
2014-07-03T13:44:15.188Z,2014-07-03T13:45:24.191Z,69.003,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-07-03T13:45:49.192Z,2014-07-03T13:46:38.194Z,49.002,occupation;office and administrative support;11580 office/computer work general
2014-07-03T13:47:47.195Z,2014-07-03T13:50:12.200Z,145.005,occupation;interruption;miscellaneous;5041 kitchen activity in the working place
2014-07-03T13:51:00.201Z,2014-07-03T14:18:58.274Z,1678.073,occupation;office and administrative support;11580 office/computer work general
2014-07-03T14:19:21.275Z,2014-07-03T14:20:54.279Z,93.004,uncodeable;0002 image dark/blurred/obscured
2014-07-03T14:21:17.280Z,2014-07-03T14:23:11.285Z,114.005,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T14:23:34.286Z,2014-07-03T14:40:28.330Z,1014.044,occupation;office and administrative support;11580 office/computer work general
2014-07-03T14:41:14.331Z,2014-07-03T14:48:16.349Z,422.018,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T14:48:41.350Z,2014-07-03T15:06:47.397Z,1086.047,occupation;office and administrative support;11580 office/computer work general
2014-07-03T15:07:09.398Z,2014-07-03T15:09:53.405Z,164.007,uncodeable;0002 image dark/blurred/obscured
2014-07-03T15:10:16.406Z,2014-07-03T15:16:47.423Z,391.017,occupation;office and administrative support;11580 office/computer work general
2014-07-03T15:17:13.424Z,2014-07-03T15:35:49.472Z,1116.048,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T15:36:12.473Z,2014-07-03T15:38:28.479Z,136.006,uncodeable;0002 image dark/blurred/obscured
2014-07-03T15:38:51.480Z,2014-07-03T15:51:09.512Z,738.032,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T15:51:33.513Z,2014-07-03T16:02:40.542Z,667.029,occupation;office and administrative support;11580 office/computer work general
2014-07-03T16:03:03.543Z,2014-07-03T16:08:31.557Z,328.014,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-07-03T16:08:56.558Z,2014-07-03T16:38:37.633Z,1781.075,occupation;office and administrative support;11580 office/computer work general
2014-07-03T16:38:59.634Z,2014-07-03T16:40:14.637Z,75.003,uncodeable;0002 image dark/blurred/obscured
2014-07-03T16:40:37.638Z,2014-07-03T17:20:55.742Z,2418.104,occupation;office and administrative support;11580 office/computer work general
2014-07-03T17:21:40.743Z,2014-07-03T17:23:36.748Z,116.005,uncodeable;0002 image dark/blurred/obscured
2014-07-03T17:24:01.749Z,2014-07-03T17:25:39.753Z,98.004,occupation;interruption;walking;11791 walking on job in office or lab area
2014-07-03T17:26:50.754Z,2014-07-03T17:40:44.790Z,834.036,transportation;walking;17250 walking as the single means to a destination not to work or class
2014-07-03T17:41:11.791Z,2014-07-03T17:48:38.810Z,447.019,home activity;household chores;grocery shopping;5060 shopping
2014-07-03T17:49:05.811Z,2014-07-03T17:53:01.821Z,236.01,transportation;walking;17250 walking as the single means to a destination not to work or class
