startTime,endTime,duration,annotation
2014-10-03T11:12:14.000Z,2014-10-05T08:20:39.003Z,162505.003,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-05T08:21:04.004Z,2014-10-05T08:24:14.012Z,190.008,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-05T08:24:37.013Z,2014-10-05T08:34:20.038Z,583.025,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-05T08:34:44.039Z,2014-10-05T08:38:38.049Z,234.01,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-05T08:39:02.050Z,2014-10-05T08:48:03.072Z,541.022,home activity;household chores;house cleaning;furniture;5032 dusting or polishing furniture
2014-10-05T08:48:26.073Z,2014-10-05T08:49:35.076Z,69.003,uncodeable;0002 image dark/blurred/obscured
2014-10-05T08:49:58.077Z,2014-10-05T08:55:02.089Z,304.012,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-05T08:55:26.090Z,2014-10-05T08:58:17.097Z,171.007,home activity;household chores;house cleaning;miscellaneous;5100 making bed/changing linens
2014-10-05T08:58:40.098Z,2014-10-05T09:03:33.108Z,293.01,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-05T09:03:59.109Z,2014-10-05T09:06:35.119Z,156.01,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-05T09:06:59.120Z,2014-10-05T09:10:10.128Z,191.008,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-05T09:10:35.129Z,2014-10-05T09:13:56.137Z,201.008,uncodeable;0002 image dark/blurred/obscured
2014-10-05T09:14:19.138Z,2014-10-05T09:16:19.143Z,120.005,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-05T09:16:43.144Z,2014-10-05T09:24:45.164Z,482.02,uncodeable;0002 image dark/blurred/obscured
2014-10-05T09:25:34.165Z,2014-10-05T09:28:19.171Z,165.006,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-05T09:28:42.172Z,2014-10-05T09:40:03.196Z,681.024,uncodeable;0002 image dark/blurred/obscured
2014-10-05T09:40:28.197Z,2014-10-05T09:43:03.203Z,155.006,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-05T09:43:26.204Z,2014-10-05T09:45:33.209Z,127.005,home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet
2014-10-05T09:45:58.210Z,2014-10-05T09:47:56.215Z,118.005,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-05T09:48:19.216Z,2014-10-05T09:49:13.218Z,54.002,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-05T09:49:38.219Z,2014-10-05T09:57:18.237Z,460.018,home activity;household chores;washing/ironing/mending clothes;5090 folding or hanging clothes/put clothes in or out of washer or dryer/packing suitcase limited walking
