participant,startTime,endTime,source,annotation
p009,24/06/2014 19:18:00,24/06/2014 19:19:59,images,leisure;miscellaneous;9071 (generic) standing miscellaneous
p009,24/06/2014 19:20:00,24/06/2014 19:22:59,images,transportation;walking;17250 walking as the single means to a destination not to work or class
p009,24/06/2014 19:23:00,24/06/2014 19:31:59,images,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
p009,24/06/2014 19:32:00,24/06/2014 19:33:59,images,home activity;miscellaneous;sitting;9060 sitting reading or using mobile/smartphone or talking on phone/computer
p009,24/06/2014 19:34:00,24/06/2014 19:36:59,images,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
p009,24/06/2014 19:37:00,24/06/2014 20:12:59,images,home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time)
p009,24/06/2014 20:13:00,24/06/2014 20:15:59,images,home activity;miscellaneous;sitting;9030  sitting desk work (with or without eating at the same time)
p009,24/06/2014 20:16:00,24/06/2014 20:25:59,images,uncodeable;0002 image dark/blurred/obscured
p009,24/06/2014 20:26:00,24/06/2014 20:28:59,images,home activity;miscellaneous;sitting;9030  sitting desk work (with or without eating at the same time)
p009,24/06/2014 20:29:00,24/06/2014 20:33:59,images,uncodeable;0002 image dark/blurred/obscured
p009,24/06/2014 20:34:00,24/06/2014 21:05:59,images,home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time)
p009,24/06/2014 21:06:02,24/06/2014 22:27:35,images,uncodeable;0001 camera taken off
