startTime,endTime,duration,annotation
2014-10-14T13:08:27.000Z,2014-10-14T13:08:59.007Z,32.007,uncodeable;0002 image dark/blurred/obscured
2014-10-14T13:09:00.009Z,2014-10-14T13:12:30.018Z,210.009,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-10-14T13:12:55.019Z,2014-10-14T14:53:22.214Z,6027.195,uncodeable;0002 image dark/blurred/obscured
2014-10-14T14:53:46.215Z,2014-10-15T06:05:41.226Z,54715.011,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T06:06:05.227Z,2014-10-15T06:07:13.229Z,68.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T06:07:37.230Z,2014-10-15T06:09:08.233Z,91.003,home activity;miscellaneous;standing;5146 standing packing/unpacking household items occasional lifting
2014-10-15T06:10:38.234Z,2014-10-15T06:16:45.247Z,367.013,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-10-15T06:17:10.248Z,2014-10-15T06:28:34.270Z,684.022,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T06:28:56.271Z,2014-10-15T06:30:28.275Z,92.004,home activity;leisure;activities for maintenance of a household;miscellaneous;9100 social activities involving sitting eating relaxing talking with more than one person
2014-10-15T06:30:51.276Z,2014-10-15T06:33:34.282Z,163.006,home activity;eating;13030 eating sitting alone or with someone
2014-10-15T06:33:58.283Z,2014-10-15T06:35:06.286Z,68.003,home activity;miscellaneous;sitting;9055 sitting/lying talking in person/using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting)
2014-10-15T06:35:29.287Z,2014-10-15T06:38:33.294Z,184.007,home activity;eating;13030 eating sitting alone or with someone
2014-10-15T06:38:59.295Z,2014-10-15T06:40:56.300Z,117.005,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T06:41:20.301Z,2014-10-15T06:42:07.303Z,47.002,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-15T06:42:32.304Z,2014-10-15T06:43:43.306Z,71.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T06:44:08.307Z,2014-10-15T06:45:46.311Z,98.004,uncodeable;0002 image dark/blurred/obscured
2014-10-15T06:46:25.313Z,2014-10-15T06:46:40.321Z,15.008,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T06:47:04.322Z,2014-10-15T06:48:58.327Z,114.005,uncodeable;0002 image dark/blurred/obscured
2014-10-15T06:50:21.328Z,2014-10-15T06:52:54.334Z,153.006,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T06:53:40.335Z,2014-10-15T06:54:26.337Z,46.002,home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet
2014-10-15T06:54:49.338Z,2014-10-15T06:56:00.341Z,71.003,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-15T06:56:24.342Z,2014-10-15T06:57:10.344Z,46.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T06:57:34.345Z,2014-10-15T06:58:58.348Z,84.003,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-15T06:59:22.349Z,2014-10-15T07:00:12.351Z,50.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T07:00:39.352Z,2014-10-15T07:02:14.356Z,95.004,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-10-15T07:02:38.357Z,2014-10-15T07:03:23.359Z,45.002,home activity;miscellaneous;standing;9020 standing writing/drawing/painting
2014-10-15T07:03:47.360Z,2014-10-15T07:06:46.366Z,179.006,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-10-15T07:07:15.367Z,2014-10-15T07:10:05.373Z,170.006,home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet
2014-10-15T07:10:51.374Z,2014-10-15T07:11:40.376Z,49.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T07:12:03.377Z,2014-10-15T07:13:22.380Z,79.003,home activity;household chores;washing/ironing/mending clothes;5090 folding or hanging clothes/put clothes in or out of washer or dryer/packing suitcase limited walking
2014-10-15T07:13:45.381Z,2014-10-15T07:14:39.383Z,54.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T07:15:05.384Z,2014-10-15T07:21:36.401Z,391.017,uncodeable;0002 image dark/blurred/obscured
2014-10-15T07:22:01.402Z,2014-10-15T07:23:14.404Z,73.002,home activity;self care;13040 (generic) self care such as grooming/washing hands/shaving/brushing teeth/putting on make-up not eliminating and bathing (not necessary in the toilet)
2014-10-15T07:23:38.405Z,2014-10-15T07:25:11.409Z,93.004,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T07:25:36.410Z,2014-10-15T07:28:23.417Z,167.007,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T07:29:14.418Z,2014-10-15T07:30:34.421Z,80.003,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T07:30:59.422Z,2014-10-15T07:33:33.428Z,154.006,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-15T07:34:42.429Z,2014-10-15T07:46:51.454Z,729.025,uncodeable;0002 image dark/blurred/obscured
2014-10-15T07:47:17.455Z,2014-10-15T07:50:03.462Z,166.007,transportation;waiting;7021 sitting
2014-10-15T07:50:28.463Z,2014-10-15T08:07:25.506Z,1017.043,transportation;public transportation;16016 riding in a bus or train
2014-10-15T08:07:49.507Z,2014-10-15T08:13:54.522Z,365.015,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-15T08:14:18.523Z,2014-10-15T08:18:12.533Z,234.01,transportation;waiting;7021 sitting
2014-10-15T08:18:37.534Z,2014-10-15T08:24:22.547Z,345.013,transportation;public transportation;16016 riding in a bus or train
2014-10-15T08:24:46.548Z,2014-10-15T08:29:35.560Z,289.012,transportation;walking;17250 walking as the single means to a destination not to work or class
2014-10-15T08:29:59.561Z,2014-10-15T08:33:02.569Z,183.008,uncodeable;0002 image dark/blurred/obscured
2014-10-15T08:33:26.570Z,2014-10-15T08:51:56.616Z,1110.046,transportation;walking;17250 walking as the single means to a destination not to work or class
2014-10-15T08:52:20.617Z,2014-10-15T08:53:08.619Z,48.002,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-15T08:53:31.620Z,2014-10-15T09:59:06.751Z,3935.131,occupation;office and administrative support;11580 office/computer work general
2014-10-15T09:59:30.752Z,2014-10-15T10:17:56.797Z,1106.045,transportation;walking;17250 walking as the single means to a destination not to work or class
2014-10-15T10:18:18.798Z,2014-10-15T10:27:03.820Z,525.022,uncodeable;0002 image dark/blurred/obscured
2014-10-15T10:27:49.821Z,2014-10-15T10:28:38.823Z,49.002,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-15T10:29:03.824Z,2014-10-15T10:52:31.882Z,1408.058,transportation;private transportation;1010 bicycling
2014-10-15T10:52:54.883Z,2014-10-15T10:54:27.885Z,93.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T10:55:05.886Z,2014-10-15T10:55:54.888Z,49.002,home activity;miscellaneous;walking;5121 walking with moving and lifting loads such as bikes and furniture
2014-10-15T10:56:18.889Z,2014-10-15T10:58:14.893Z,116.004,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T10:58:38.894Z,2014-10-15T10:59:50.897Z,72.003,home activity;household chores;washing/ironing/mending clothes;5090 folding or hanging clothes/put clothes in or out of washer or dryer/packing suitcase limited walking
2014-10-15T11:00:17.898Z,2014-10-15T11:01:27.900Z,70.002,home activity;household chores;washing/ironing/mending clothes;5095 putting away /gathering clothes involving walking
2014-10-15T11:01:51.901Z,2014-10-15T11:07:20.915Z,329.014,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T11:08:09.916Z,2014-10-15T11:09:18.919Z,69.003,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T11:09:41.920Z,2014-10-15T11:16:14.935Z,393.015,home activity;eating;13030 eating sitting alone or with someone
2014-10-15T11:16:37.936Z,2014-10-15T11:17:26.938Z,49.002,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T11:17:48.939Z,2014-10-15T11:23:01.952Z,313.013,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T11:23:28.953Z,2014-10-15T11:25:03.957Z,95.004,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T11:25:26.958Z,2014-10-15T11:36:05.983Z,639.025,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T11:36:30.984Z,2014-10-15T11:41:00.994Z,270.01,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-10-15T11:41:24.995Z,2014-10-15T11:41:47.996Z,23.001,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T11:42:13.997Z,2014-10-15T11:42:59.999Z,46.002,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T11:43:25.000Z,2014-10-15T11:50:21.017Z,416.017,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T11:50:46.018Z,2014-10-15T11:51:36.020Z,50.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-15T11:52:00.021Z,2014-10-15T11:56:24.030Z,264.009,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T11:56:47.031Z,2014-10-15T12:05:31.048Z,524.017,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T12:05:57.049Z,2014-10-15T12:21:56.085Z,959.036,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-10-15T12:22:41.086Z,2014-10-15T12:24:38.091Z,117.005,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T12:25:03.092Z,2014-10-15T12:26:13.095Z,70.003,home activity;eating;13030 eating sitting alone or with someone
2014-10-15T12:26:36.096Z,2014-10-15T12:30:06.104Z,210.008,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T12:30:29.105Z,2014-10-15T12:32:00.109Z,91.004,home activity;eating;13030 eating sitting alone or with someone
2014-10-15T12:32:22.110Z,2014-10-15T12:36:28.118Z,246.008,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T12:36:51.119Z,2014-10-15T12:40:02.126Z,191.007,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-15T12:40:28.127Z,2014-10-15T12:42:49.133Z,141.006,home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren)
2014-10-15T12:43:36.134Z,2014-10-15T12:44:23.136Z,47.002,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T12:44:47.137Z,2014-10-15T12:52:52.155Z,485.018,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T12:53:16.156Z,2014-10-15T12:58:24.169Z,308.013,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-10-15T12:58:47.170Z,2014-10-15T12:59:56.173Z,69.003,home activity;eating;13035 eating standing alone or with others
2014-10-15T13:00:19.174Z,2014-10-15T13:01:48.177Z,89.003,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-10-15T13:02:12.178Z,2014-10-15T13:12:36.203Z,624.025,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
2014-10-15T13:13:00.204Z,2014-10-15T13:13:48.206Z,48.002,home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren)
2014-10-15T13:14:13.207Z,2014-10-15T13:16:55.214Z,162.007,home activity;miscellaneous;sitting;9055 sitting/lying talking in person/using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting)
2014-10-15T13:17:19.215Z,2014-10-15T13:23:40.230Z,381.015,home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren)
