startTime,endTime,duration,annotation
2014-06-23T09:51:53.000Z,2014-06-23T13:29:06.013Z,13033.013,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-06-24T06:25:20.014Z,2014-06-24T06:27:16.019Z,116.005,uncodeable;0002 image dark/blurred/obscured
2014-06-24T06:27:57.020Z,2014-06-24T06:39:35.045Z,698.025,home activity;miscellaneous;sitting;11580 office/computer work general
2014-06-24T06:39:59.046Z,2014-06-24T06:45:09.057Z,310.011,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-06-24T06:45:53.058Z,2014-06-24T06:46:49.060Z,56.002,uncodeable;0001 camera taken off
2014-06-24T06:47:12.061Z,2014-06-24T07:12:09.108Z,1497.047,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-06-24T07:12:32.109Z,2014-06-24T07:14:57.115Z,145.006,home activity;miscellaneous;sitting;11580 office/computer work general
2014-06-24T07:15:24.116Z,2014-06-24T07:19:09.124Z,225.008,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-06-24T07:19:34.125Z,2014-06-24T07:23:43.135Z,249.01,home activity;miscellaneous;sitting;11580 office/computer work general
2014-06-24T07:24:27.136Z,2014-06-24T07:30:22.149Z,355.013,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
2014-06-24T07:30:46.150Z,2014-06-24T07:33:06.155Z,140.005,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-06-24T07:33:29.156Z,2014-06-24T07:38:56.169Z,327.013,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-06-24T07:39:21.170Z,2014-06-24T07:44:44.183Z,323.013,home activity;eating;13030 eating sitting alone or with someone
2014-06-24T07:45:09.184Z,2014-06-24T07:47:34.190Z,145.006,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-06-24T07:47:57.191Z,2014-06-24T07:48:53.193Z,56.002,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities
2014-06-24T07:49:17.194Z,2014-06-24T07:51:12.199Z,115.005,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
2014-06-24T07:51:58.200Z,2014-06-24T07:56:54.212Z,296.012,home activity;eating;13030 eating sitting alone or with someone
2014-06-24T07:57:40.213Z,2014-06-24T07:59:36.218Z,116.005,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-06-24T07:59:59.219Z,2014-06-24T08:03:40.228Z,221.009,uncodeable;0002 image dark/blurred/obscured
2014-06-24T08:04:04.229Z,2014-06-24T08:09:29.242Z,325.013,home activity;self care;13040 (generic) self care such as grooming/washing hands/shaving/brushing teeth/putting on make-up not eliminating and bathing (not necessary in the toilet)
2014-06-24T08:09:52.243Z,2014-06-24T08:13:05.250Z,193.007,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
